Timestamp,Profil A,Profil B,NO1,NO2,NO3,NO4,NO5
2024-06-14 15:00:00,0.14,0.786,0.9989665416026962,1.117161108356462,1.05361852706547,1.313361920817035,1.051255843014742
2024-06-14 16:00:00,0.08,0.826,1.074738047003461,1.214153084813868,1.133251238387013,1.376875562611499,1.126197520257737
2024-06-14 17:00:00,0.22,1.236,1.120099112439474,1.248649327400462,1.148733886048501,1.385936676541351,1.143181489797911
2024-06-14 18:00:00,0.11,1.766,1.132971465428745,1.260147752957313,1.141874390753377,1.396159102440302,1.148645123498975
2024-06-14 19:00:00,0.13,1.064,1.135464447613943,1.263777085895694,1.150395637296835,1.412161655673579,1.162037137557356
2024-06-14 20:00:00,0.18,0.843,1.136964851876414,1.254963520570792,1.160790876718324,1.435504263572235,1.183141540564288
2024-06-14 21:00:00,0.12,1.99,1.111889495534944,1.222568080982401,1.148189841247737,1.422847427944811,1.166290500829835
2024-06-14 22:00:00,0.42,2.284,1.092673855573826,1.195233043343873,1.131338253725108,1.396021088724856,1.139519203358391
2024-06-14 23:00:00,0.42,1.002,1.058672656413238,1.142479764058908,1.109782262717091,1.357704299579371,1.09935675095187
2024-06-15 00:00:00,0.53,1.014,0.9758517846939025,1.055840789740585,1.043243330614519,1.287649552365833,1.026232939568486
2024-06-15 01:00:00,0.16,0.897,0.8942877621897987,0.9766217082068238,0.9674946784172519,1.20443747033503,0.9399598555110807
2024-06-15 02:00:00,0.25,1.106,0.8400912264700298,0.9240218234739184,0.9163371595679073,1.14782132277124,0.8856142536366299
2024-06-15 03:00:00,0.04,0.59,0.8046860899164862,0.8903247119127575,0.8828671394752023,1.112579338450711,0.8506441472224935
2024-06-15 04:00:00,0.24,0.613,0.7762137562830619,0.865310722093611,0.8632577038613802,1.094693652923943,0.8299256077321098
2024-06-15 05:00:00,0.11,0.596,0.7658170546804667,0.8613353757288712,0.8690972705751288,1.091165444606295,0.8338382114614858
2024-06-15 06:00:00,0.21,0.608,0.7819952633458003,0.884614418690012,0.8564213102035133,1.100368868557587,0.8648438152884897
2024-06-15 07:00:00,0.06,0.919,0.8454496778184865,0.9580570089154911,0.8910425826088686,1.145908280004583,0.9251614566045104
2024-06-15 08:00:00,0.05,0.731,0.9544872394681212,1.082661381981628,0.9814590834941413,1.235477462806265,1.02133351557161
2024-06-15 09:00:00,0.22,0.672,1.075413912172947,1.211728024392835,1.072449917440866,1.329568609960883,1.126598145074685
2024-06-15 10:00:00,0.13,0.756,1.128273574029981,1.263105031505266,1.103277995504009,1.369697949229938,1.172263126037294
2024-06-15 11:00:00,0.23,0.671,1.132710076609522,1.261150706896385,1.088847305389222,1.357695461464181,1.170317055550132
2024-06-15 12:00:00,0.1,0.826,1.106723796009546,1.240245667019766,1.0572825611236,1.316613856200592,1.137038094308308
2024-06-15 13:00:00,0.27,0.742,1.081319377130881,1.230601159754397,1.026485069727654,1.28934851634233,1.090340486185688
2024-06-15 14:00:00,0.11,1.178,1.068317106916296,1.230999925945722,1.009525881791235,1.283403001685789,1.060240281167627
2024-06-15 15:00:00,0.22,0.716,1.079001105582693,1.242901414436721,1.017077058507569,1.302260266125469,1.055519359562628
2024-06-15 16:00:00,1.26,1.752,1.116052570139093,1.274372068014025,1.04218771758808,1.334653840488388,1.073460275309968
2024-06-15 17:00:00,1.77,0.728,1.16104224561378,1.321538139563337,1.068573069807229,1.367084076662466,1.107889876012887
2024-06-15 18:00:00,0.72,1.606,1.191482925242806,1.34906820399056,1.095022032347266,1.39630329465294,1.149720433466758
2024-06-15 19:00:00,0.14,0.947,1.17767576902497,1.319629857397217,1.099866637157578,1.402185264897952,1.163177194181392
2024-06-15 20:00:00,0.08,1.298,1.148397541009669,1.26801249585457,1.088161169355641,1.397537684741158,1.138596504930196
2024-06-15 21:00:00,0.09,0.776,1.110891488466783,1.21030239903665,1.061076053872322,1.369743776493887,1.098346656253051
2024-06-15 22:00:00,0.12,0.893,1.080656845119402,1.171308571299781,1.034923259792707,1.33827693579273,1.066039129161378
2024-06-15 23:00:00,0.06,0.911,1.030911347166592,1.122193101360989,1.01067146438021,1.301520769570697,1.021251898857756
2024-06-16 00:00:00,0.23,0.917,0.9576519900906539,1.050236169514009,0.9602319619033409,1.238781986759303,0.9607215436042426
2024-06-16 01:00:00,0.31,1.232,0.885976022435021,0.9816798784218016,0.8920456563094484,1.169910473899132,0.8951713553788718
2024-06-16 02:00:00,0.09,0.598,0.8357426876784532,0.9371386622534468,0.8430216966938964,1.117426902020475,0.8470003045970728
2024-06-16 03:00:00,0.24,0.554,0.8071210842503354,0.9152246427674494,0.8118314496375596,1.088631044443899,0.8296242521751355
2024-06-16 04:00:00,0.12,0.58,0.7792359774305287,0.8907296623757976,0.7907936389520932,1.069961947315444,0.8102671472531592
2024-06-16 05:00:00,0.17,0.538,0.7563181165338365,0.8639969476659949,0.7694033098337623,1.054086530986342,0.7914588637748168
2024-06-16 06:00:00,0.09,0.566,0.7573077793090166,0.8617382848973862,0.7655812848918896,1.055383472859843,0.7959269123229041
2024-06-16 07:00:00,0.23,0.696,0.8117206996136372,0.9213855922107528,0.818199733920201,1.098869876185566,0.8440439557006514
2024-06-16 08:00:00,0.07,0.945,0.9164530300814242,1.031900432092008,0.9009532619642658,1.173456411263595,0.912393820584514
2024-06-16 09:00:00,0.25,0.54,1.048279990806511,1.164549619746154,1.007884093650142,1.265032037905384,1.012557678189288
2024-06-16 10:00:00,0.26,0.552,1.128425960160941,1.232061742148611,1.087466746241934,1.320542230296484,1.088464088786142
2024-06-16 11:00:00,0.41,0.812,1.16717115788001,1.251192020142829,1.116435177241474,1.332104272539055,1.116358034333557
2024-06-16 12:00:00,0.28,0.697,1.172639376296241,1.244632657398046,1.118439379810263,1.320108879778067,1.127121635764383
2024-06-16 13:00:00,0.22,1.957,1.148185058036173,1.232048621620055,1.110613898317729,1.31166253406329,1.138159765069745
2024-06-16 14:00:00,0.04,0.728,1.129922718365812,1.221781107726784,1.11262685416589,1.327873796021244,1.150659257407957
